Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Вологда;52648;13554;0.257445676948792;13;23;12;4677;2;1130
Кашира (Каширский район);21218;3630;0.17108115750777642;10;29;9;2422;3;403
Развилка (Ленинский район);46912;9361;0.199543826739427;11;68;10;4578;6;936
Черкесск;13262;3642;0.27461921278841805;6;13;5;2827;2;728
Кострома;20854;5082;0.24369425529874364;8;26;6;3342;3;847
Дзержинский;8932;954;0.10680698611733094;4;23;4;2426;6;238
Рошаль;1784;721;0.40414798206278024;1;2;1;2084;2;721
Петропавловск-Камчатский;72781;20427;0.2806639095368297;13;62;13;7162;5;1571
Новоглаголево (Наро-Фоминский район);13351;1629;0.12201333233465658;2;18;1;7236;9;1629
Дубна;306322;95251;0.31095056835617424;33;49;33;10482;1;2886
Лесной Городок (Одинцовский район);4976;657;0.1320337620578778;2;2;2;2537;1;328
Беляниново (Мытищинский район);5860;767;0.1308873720136519;1;1;1;6010;1;767
Отрадный;19999;3635;0.1817590879543977;2;2;2;11074;1;1818
Лыткарино (Московская область район);74847;14383;0.19216535064865659;27;92;20;4394;3;719
Зеленоград;80835;16838;0.2083008597760871;10;53;10;9661;5;1684
Элиста;26378;2228;0.08446432633254986;5;26;5;5876;5;446
Ейск;9257;2556;0.2761153721508048;5;12;4;6116;2;639
Наро-Фоминск (Наро-Фоминский район);32568;6176;0.18963399656104152;14;58;12;2666;4;515
Московский (Ленинский район);44240;8188;0.18508137432188065;16;54;8;2881;3;1024
Новоивановское (Одинцовский район);3705;-172;-0.046423751686909584;1;5;1;3754;5;-172
Долгопрудный;5454;364;0.06674000733406674;1;5;1;5503;5;364
Владивосток;48389;9176;0.18962987455826738;12;32;12;4878;3;765
Севастополь;419402;-16749;-0.039935431876815086;68;381;48;7099;6;-349
Архангельское (Красногорский район);9279;2211;0.23827998706757195;2;6;2;4615;3;1106
Чебоксары;67240;11631;0.17297739440809043;15;60;14;4967;4;831
Электрогорск (Павлово-Посадский район);29580;5590;0.1889790398918188;8;49;8;4586;6;699
Фрязино (Московская область район);36998;4571;0.12354721876858209;6;10;5;7505;2;914
Новочеркасск;8820;2742;0.3108843537414966;5;18;3;2464;4;914
Чехов (Чеховский район);53916;6745;0.12510201053490616;22;102;21;2611;5;321
Махачкала;24583;3327;0.1353374283041126;7;50;7;4393;7;475
Чиверево (Мытищинский район);15098;1642;0.10875612663928998;4;25;1;3824;6;1642
Мурманск;63755;13351;0.2094110265861501;14;88;14;5341;6;954
Адлер;31459;2116;0.06726215073587845;5;21;4;6794;4;529
Нахабино (Красногорский район);114009;15944;0.13984860844319308;37;174;30;4200;5;531
Черная (Истринский район);6090;1066;0.17504105090311986;1;16;1;10052;16;1066
Бийск;23667;4650;0.19647610597033843;7;11;7;4010;2;664
ВНИИССОК (Одинцовский район);6037;533;0.08828888520788471;1;28;1;7000;28;533
Апрелевка (Наро-Фоминский район);163083;28828;0.17676888455571702;45;242;20;3887;5;1441
Клушино (Солнечногорский район);11887;2420;0.20358374695045006;1;3;1;11936;3;2420
Великие Луки;5378;1764;0.3280029750836742;2;3;2;3239;2;882
Пятигорск;14323;1681;0.11736368079312993;6;15;6;4128;2;280
Шатура (Шатурский район);77682;11255;0.1448855590741742;26;110;20;3260;4;563
Воскресенское (Каширский район);9767;-393;-0.04023753455513464;4;20;4;2491;5;-98
Камышин;12755;1433;0.11234809878479028;3;13;2;4852;4;716
Нефтекамск;19990;2434;0.12176088044022011;1;1;1;21990;1;2434
Давыдово (Давыдовское с/п) (Орехово-Зуевский район);1230;926;0.7528455284552845;1;1;1;1329;1;926
Выборг;36041;4235;0.11750506367747843;9;34;7;4697;4;605
Серпухов (Московская область район);100458;22047;0.21946485098250015;32;177;26;3479;6;848
Молоково (Ленинский район);23744;7077;0.2980542452830189;4;42;3;7759;10;2359
Сокол;5400;1211;0.22425925925925927;1;1;1;5950;1;1211
Красноуральск;4048;937;0.23147233201581027;2;2;2;2744;1;468
Пушкино (Пушкинский район);45818;12835;0.28013007988126937;9;39;9;6091;4;1426
Георгиевск;15868;1902;0.1198638769851273;3;41;2;6160;14;951
Ступино (Ступинский район);53073;8794;0.16569630508921673;24;82;20;2550;3;440
Юбилейный (Московская область район);120278;22253;0.18501305309366634;38;161;31;3547;4;718
Луховицы (Луховицкий район);16939;3069;0.1811795265363953;8;26;8;2417;3;384
