Кластер 1;Кластер 2;Кластер 3;Кластер 4
21;211;141;40
-693;478.5;191;1041
665;1062;223;580
62;72;84;9473
-44;762;89;4400
0;663;544;4666
473;688;209;2620
34;114;482;5389
-604;402;568;1191
748;717;213;901.5
69;374;222;1781
190;2616;718;1716
530;2293.333333;-1548.5;1131
233;1240;184;648
128;374;629;1670
58;704;234;800
260;230;-598;521
165;235;1320;963
69;863;744;14035
-336;977;-155;9025
706;215;-11;3666
211;291.5;40;1680
238;243;-72;754
117;598;809;670
321;503.5;609;1374
65;111;159;538
202;262;355;400
384;163;351;2274
64;84;-594;599
-381;967;56;2108
54;1066;39;6365
520;280;766;2907
692;1232;-3;2728
167;499;999;2650
212;166;50;1217
14;79;236;1963
472;322;50;1840
99;300;-627;7984
174;256;40;22010
266;361;235;630
164.6666667;70;640;1596
58;242;296;432
147.2857143;610;128;12778
15;1620;274;10850
106.6666667;159;1165;1822
76;107;19;3720
5;582;279;522
399;67;1329;1240
239;524;1101;12835
134;401;229;1513
78.66666667;452;429;8796
179.5;281;450;53.5
459;470.5;-13;1763
396;1642.5;46;565
131;608.5;-351;750
321;584;83;5680
154;740;60;525
133;239;127;2694
-479;657;589.5;400
33;65;298;532
266;127;237;2880
134;515;-836;150
306;864;278;953
392;697;332;1991
662;100;-84;200
631;600;603;2106
568;3464;-202;5629
112.5;891;-1075;621
25;-359;659;10881
159;452;358;2418
-120;214;191;4936
42;45;91;1860
353;354.3333333;354;380
148.6666667;138;-503;604
-235.5;175;589;1291
498.3333333;178.5;94;211
257.5;395;421;1263
513;220;1614;1978
267;208;297;754
216;1077;212;3810.5
183;905;196;719
364;976.8333333;2027;2207
112;1474;488;1432
288;342;157;1828
225;599;183;4943
31;466;2271;2068
171;713;200;400
399;111;1900;4553
156;76;15;351
335.5;386;650;500
219;863;52;4321
-1086;689;49;1883
152;308;2522;613
104;723;806;4598
82;75.5;-296;8225
-355;833;368;750
425.5;1304;327;483
454.5;1294;18;871
544;306.3333333;156;1116
109.6666667;187.5;-139.5;1596
190;741;212;1290
220;1487;212;2239
73;836;677;949
172;465.5;446.5;1260
79.5;699.6666667;427;13427
-408;175;273;1442
406;301;376;449
64;392.5;-597;1290
135;241;558;613
120;246;42;7900
626.6666667;133;192;1700
-269;64;5;3300
73.5;700;47;3947
469;309;270;1426
178;219;229;3176
82;693.5;273;650
295.6666667;611;61;580
138;93;77;920
30;531;132;472
-452;470;151;3990
384.5;154.6666667;1036;4892
339.5;386;141;3715
49;817;82;1456
627;284;392.5;1152
76;620.5;-55.33333333;2798
69;452;202;1587
-397;244;1190;1515
38;218;598;1039
396;803;225;1748
-379;68;-252;1262
464;500;-202;950
-314;444;0;524
-89;149;859;6100
232;316;141;661
525;132;266;1036
60;540;34;33.5
58;2345;-410;467
100;127;424;1944
6;134.5;67;3657
100;213.5;1050;2828
47;400;162;1508
-52;594;59;3194
543;193.5;-202;799
192;305;80;4516
140;327;25;2278
-355;490;-105;1290
-2544;385;972.3333333;1778
1428;297;1011;590
-330;250;171;2699
87;530;28;547
3.333333333;342;93;4526
554.5;1367;531;750
326.5;151;131;4881
42.5;471;465;2028
125;488;-176;3340.5
202;159;204.5;1390
-355;186;6;1928
126;500;229;450
151;483;852;2246
147.5;1408;-458;4502
243;94;60;3429
124;74;285;1436
319;739;276;1840
153;420;64;2977
140;389;331;906
150;464;180;2828
100;727;125;1172
287.5;643.5;211;209
245;2267;839;432
140.5;437.5;81;594
75.5;374.5;187;137
316;47;225;3400
457;307;834;5596
59;70;78;128
271;336;159;111
151;366.5;42;1260
357.5;630;-399;13776
393.5;622;161;3555
131;500;44;1272
61;55;75;1359
103;248;296;454
238;356;689;4447
83;422;234;3723.5
609;319;134;2650
413;636;2453;1452
215;97.8;-183;1240
446;26;1119;1305
377;1502;519.6666667;2883
391;467.5;57;2049
-604;451.5;81;3349
123;772;58.5;628
-38;129;825;1017
156;1026;132;7580
119.5;141;760;1050
178;121;571;371
311.5;173.5;516;6900
-539;84;255;4962
140;1932;298;4578
251;521;-284;1600
60;267;689;1751
138;-1;198;807
-25.8;307;434;968.5
172;1405;-507;796
228;1353;284;1325
63;401;346;986
-272;512;357;2763
317;494;-385;2592
2412;341;250.2;532
138;389;367;4685.666667
60.5;449;242;246
14;431;187;493
189;537;403;756
798;302.5;1230;1176
203;602;162;990
1771;121;280;569
154;358;58;1100
80;747;105;506.5
67;3000;285;216
124;445;482;2700
343;16;109;2988
224;813.5;335;6002
149;83;246;1120
115;826;202;621
-436;205;-586;1040
-355;753;454;1187
-978;316;117;750
360;2500;84;2200
144;287;190;320
597;-434;1599;128
319.5;31;288;522
426;167;190;8685
676;461;108;1870
181;648;784;1100
697;795;-273;1849
58;206;135;2677
230;170;107;1240
-355;431;100;0
649;2500;110;6421
426;179;143;5294
-625;478;168;1122
568;138;74;1606
197.5;303;279;1162
208;500;350;968
194;171;424;1116
-952;493;310;1245
193.5;1362;386;442
204;3000;67;1325
69;49;-640;4419
-89;419;76;1967
84;701;5443;613
179;456;146;43952
153;452.5;741;3161
220.75;171;116;4599
600;154;81;610
242;-115;250;272
158;511;15;5703
138;460;351;3135
1729;239;-23;5512.5
-604;47;2988;1116
110;121;88;1892
1560;403;539;760
-5;207;1654;852
-118.5;232;19;1658
115;171;109;279
240.5;266;304;13347
2513;751;841;6489
-96;1235;713.5;5815.5
847;1400;425;8431
-517;162;908;4477.5
40;453;94;2990.5
42;389;616;2302
-29;475;178;970
22;380;165;926
-811;935;110;1059
139;403;597;4510
194;70;152;1126
-1208;2633.5;1661;750
268;42;81;288
620;345;419;1101.5
436;68;687;622
-702;551;182;1409
193;283;507;1305
100;698.8;6;1029
358;90.5;98;5686
294;336.75;428;3066.5
248;-11.25;-178;4303
606;266;923;5479
447.5;500;-138;1385
193;223;803;3930
-426;5818;160;9719
356;850;394;259
145;994;41;130
949;471;468;4745
307;718;194;430
502.5;529;317;674
419;653.6666667;-575;1334
344;761.75;685.5;691
207;595;780;901
78;590;-156;1278
95.66666667;481.5;212;1116
-26;224;81.5;3318
-413;323;134;419
-441;818;840;1805
96;24;147;6000
85.33333333;454;503;661
297;86;3381;1100
115;67;414;4970
237;79;147;1060
409;133;438;2089
218;274;131;1680
354;5831;184;6770
325;459.6666667;-842;5074
366;253.8333333;-57;4564
525;362;380;2059
30;305;246;8095
428;1195;-678;1030
52;828;493;645
148;341;759;1498
674;780;167;2237
40;-381;-1075;546
409;905;77.5;3278
130;729;120;1685
181;150;-436.5;14478
-21;277;1650;2342.5
183;500;1280;400
108;300;73;6149.666667
268;158;429.25;543.5
171;1079;795;4700
217;381;297;6202
1007;105;520;400
138;451;74;204
379;18;386;5580
94;185;133;713
311.6666667;1626;176;575
344;280.5;63;3787
74;114;191;44062
202.5;325;463;1610
49.42857143;497;177;720
317;112;1670;1782
338;318;346.5;4578
125;261;140;2772
1315.5;29;1575;1314
2141;52;696.3333333;809
436;1030;2010;765
666;331.5;833;183
6;387;222;93
105;307;145;1357
421.6666667;-338;321.5;1536
261;117;180;416
103;1051;324;2939
88.2;220;369;638.6666667
250;293;-47;1002
80;539.5;214;43963
468;300;138;5191
127;-5;187;1750
209;1018.666667;18;591
-133;105.5;3;2098
340;78.5;35;1198
281.6666667;454.3333333;450;6720
212;2188;-150;1126
-5;1900;113;2920
240.3333333;230;303;1179
508.5;80;162;13248
35;404;-28;483
161;619;76;1822
227;295;178;851
217;112;207;270
358;913.5;590;3400
130.5;244;1008;3375
1614;609;144;43959
-182;307;158;1721
807;971;601.5;509
236;960;186.5;856
591;696;248;338
246;211.25;354;3721.5
49;1509;333;623
107;-42;360;596
327;529.5;333;533
388.3333333;284;273;1091
98;350;210;2626
116;229;106;2851
600;189;336.5;2403
113;271;-133;207
703;195;367;1649.5
19;200;778;4668
8;456.6666667;310;5226
197;907.5;77;3175
138;210;613;4573
93;502.5;148.5;1390
153;724.5;163;1630
122;1883;401;43967
331;718;66;1500
149;182.5;177;400
109;1717;291;2620
201;61.5;113;190
-604;79.5;539;510
393;553;527;1048
-143;614;6;5742
960;392;146;535
75;360;238;3849
589;579;494;2067
46;315;37;3583
213;1270;-202;1669
232;300;205;1500
348;892;-313;5015
547;59;902;6715
511;142.25;240;1051
172;-310;410;500
454;259;312;1278
175;500;149;1117.5
172;1035.5;93;680
169.75;133.5;918;-9
-169.5;795;-183;1490
116;139;-1351;1890
325.5;661;281;1564
-636;183;286;1198
108.5;367;135;4368
155;1544;661;923
488;106;460;2722.666667
84;306;80;422
133;442;192;43973
97.66666667;281;65;2763
225;76;347;550
139;186.6666667;225;2798
-575;637;222;593
-604;390;245;393
83;647;625;5061
115;350;1066;9328
1753;391;185;121
68;1514;644;600
-117;65;535;175
665;435;-155;280
48;382;418;3285
423;283;211;150
59;827;129;250
651.5;1704;-2808;8034
54;343;153.5;5692
216;335.5;-263;680
538;-186.5;211;548
170;129;235;440
447.6666667;157.6666667;287;43980
450;-105;396;580
-604;2011;174;5164
251;202;354;128
15.33333333;401;452;316
218;1042;91;720
103;296.5;739;687
25;228;983;1172
317;3624;24;160
191.5;90;751;434
212;223;188.5;2686
223;350;210;390
138;100;291;1669
-123;503;82;980
181;229;79;1440
218;178.5;760;6278
126;47;516.6666667;1050
147;2046;427;937
-636;388;-293;2968.5
480;695;152;2189
-441;581;348;948
482;600;177;2186
468;112.5;79;1991
421;499;157;1048
479;319;-158;481
363;215;73;1682
-604;2;54;103
-604;163;279;4656
393;552;143;1980
66;1264;440;2593
172;384;225;856
-340;287;388;920
306.8571429;194.5;566.5;209
134;119;-61;383
31;271;-557;5768
304;299;853.5;4575
138;335;227;2032
-211;295;112;2074
32;235.5;711;2876
142;565;192.5;20
138;85;1267;3416.5
95;121;18;1048
285;293;1189;1325
256.3333333;454;423;165
332;607.5;465;320
133;1856;209;2084
40;219;437;391
214.5;405.3333333;1095;2572
346;568;-102;580
1752;157;428;5577
217.5;72;120;10564
69;280;29;7837
182.8;59;487;2290
338;-63;106;517
1247;777;171.6666667;672
62;828;687;204
106;123;162;1353
2089;941;124;9259
128;12;2999;1099.5
72;101;153;11081
138;383;135;2164
312.5;767.5;144;339
427;511;231;520
773.3333333;122.5;157;1433
130;613.5;305;1426
-306;184;77;6407
147;299;783;2934
991;142;551.5;1774
-452;2076;34;1102
651.5;303;204;1117
-355;196;-556;1170.666667
27;191;1000;1442
22;450;509;1204
1084;76;178;8711
-636;189;537;713
157;63;129;333
-215;638;44.5;1233
-75.5;614.6666667;280;800
150;1010.75;93;1745
99;248;51;898
28;350;249;524
209;-171;-1470;994
-327;1196;9238;2726
243.5;3442;308;6961
-204;198.5;115;673
133;172;795;272
32;1682;922;610
-596;104.5;62;392
-209;1010;186;2869
102;562;242;6977
1251;275;118;89
149;277;-35;1405
70;223;748;3100
94.5;295;1011;1122
942;76;187;3560
543;521;-394.5;419
143;289;709;397
170;460;418;4583
78;401;-151;3193
-460;1351;682;1524
-323;368.5;337;1680
40;491;234;735
227;80;252;381
251;1138;215;1014
258;168;409;416
71;432;49;966
544;955;1667;8311
50;125;-668;15
-1116;325;2145;1286
186.5;490;-1299;8514
649;778.6666667;147.5;4362
-140;339;467.6666667;900
128;515.5;206;270
-153.5;2300;46;40
215.75;448;170;7984
211;680;2890;1573
70;192;827;537
209;635;190;1774
230;131;871.5;9171
32;699;57;847.3333333
317;357;41;571.5
-130;116;1009;9199
352;509;335;1116
88;205;427;5013
153;524;370;860
518;136.5;634;605
722.25;1389;138;2032
81.5;962;45;1739
152;331.6666667;-398;180
470;646;67;2960
22;571;554;8827
-604;350;113;440
312;629;802;1266
241;339;-497;2516.5
353.3333333;493;130;13473
70;500;-557;3610
554;657.6666667;298.5;5098
-1744;180;79;1036
195;1500;78;1664
-274;381;146;2349
155.6666667;1014;1499;383
564;485.6666667;473;3807
302.5;200;465;613
106;338;669;1076
138;283;80;1015.5
69;305;67;1324
10;581;164;1448
137;2;2958;1135
135;225;361;1536
473;90;185;432
-667;158.5;627;1011
242;104;-108;1340
722;119;64;1901
208;507;397;1060
278.7142857;249;450.6666667;349
50;-2.333333333;469;26600
369;51.5;18;800
-882;77;-400;2028
288;473;236;3465
1001;330.6666667;-94;345
24;2500;326;350
459;238.5;34;1490
145;370;894.5;610
47;1553;428;661
572;2900;181;191
241;-1135;-280;5633
57;229.6666667;112;1630
776;421;14;771
111;219;301;599
19;151;542;1105
374.3333333;251;208;1388
129;536;416;605
-604;385;318;898
7;192;214;1816
567.5;801;-85.5;953
-123.5;474;1265;100
44;15;485;1454
828;210;865;734
195;398.3333333;88;873
197;782;249;1339
61;304;138;3411
204;453;654;3288.5
62;275;312;1600
240;313;619;1200
262;126;361;6770
98;500;546;8659
307;380;266;1864
199;261;226;621
210;104.5;519;3999
284;391.3333333;280;1060
-201;339;-370;2732
54;347.5;111;1800
119.2;350;1162;8451
-65;2500;60;1135.5
-180;581.75;1273;108
110;73;-627;8108
58;1062;503;1000
76;225;-592;856
-400.5;495.5;2347;1490
540.3333333;543;442;1774
94;387;870;5104
469;554;198;500
364.25;95;130;6492
-75.33333333;285;2250;5
13;268;19;8129
-1226;385;301;1323
-1908;531;28;565
279;290;51;6708
140;146;202;1347
604;474;276;4583
494.6666667;223;-635;2000
385.5;129;88;2548
252;394.25;1143;1424
270;856;521;1228
21;165;-4;1290
707;1342;106;710
88;498;516;8643
28;1934.5;395;4372
517;430;18;1294
154;755;724;1928
384.25;549;-213;6308
190;281;188;586
77;586;220;2240
61;254;289;1991
277;988;60;613
265;1999;5279;2727
266;4599;367;750
83;258;131;1131
22;965;114;604
156;1147;1260;382
290;556;582;584
283;-58;-457;691
78;1538;-116;1271
342.5;192;-542;1800
35.5;269;40;1387
1465.666667;80;100;270
188;-46;95;1299
786;332;212;2412
109;67;87;1217
546;96;441;2136
-303;307;298;435
-1302;213;-50;6659
159;500;-173.5;3955
126;550;132;2032
332.5;223;178;300
-569;6438;501;4430
269.5;-106.25;71;1912
260;447.3333333;-1052;1296
262;189;78;1376
741;336.2857143;521.3333333;1784
-993;-436;159;21670
136;1505;33;243
-420.5;114;278;1220
60;178.3333333;400.5;276
197;345.5;79;1573
546;120;725;1150
111;3187;75;410.6666667
756;806;127.3333333;2515
104;250.3333333;366;2002
46;538;66;2907
-590;1165;393;617
71;-326;1428;3230
997.5;94;458;443
-604;143.5;170;4383
67;163;584;879
-39;1298;694;400
-1208;429;60;4967
7;542;118;400
36;810.5;262;440
288;9;767;1278
-1208;486.25;922;1952
219.5;209;1004;2637
632;1387;266.3333333;896
191;815;76;840
-872;105;114;4573
138.5;-295;54;1390
50;182;149;856
239.5;749;528.5;258
-27;-54;-338;1278
193;274.5;155.5;1375
37;466;795;507.5
226;981;178;3646
-70.5;400;1166;1865
-355;39;318;538
150.3333333;-22.66666667;49;43974
681;39;629;420
235;3491;-10;1887
371;184;1316;661
121;438;176;920
51;266;378;412
-1007;261;864;500
62;731.3333333;579;1185.5
246;583;130;5882.5
353.5;217.8333333;1329;3607
