Кластер 1;Кластер 2;Кластер 3;Кластер 4
2475;9340;8424;8410
1049;2799;777;7930
3145;5875;2208;13620
5058;29956;3025;4200
3807;6049;7218;1409
3150;1998;4819;13390
870;1625;1499;3250
2220;1498;970;3306
973;2632;4568;1610
1049;2293;2768;36990
1799;3057;1049;27740
26589;1025;576;16410
2625;1617;209;4180
2029;599;1259;2800
1679;7056;4038;5570
5228;2674;3039;3325
1351;658;557;1691
2423;649;1242;6799
3084;2899;1220;9814
1019;459;2981;1235
2502;4435;612;5700
517;2766;380;22280
5000;4143;4609;13490
6599;3398;1058;13400
650;1099;999;8512
2299;899;380;3420
3300;299;2280;8499
2832;1228;919;7990
446;2399;1998;28050
3750;1366;330;22010
1998;2099;4959;5310
7064;459;2239;13188
1250;2094;1784;2738
15211;5556;469;31350
615;3420;1374;39100
2256;1028;3903;5453
838;359;2199;11640
195;1998;3799;2006
2997;497;2650;4740
2143;7697;2779;30990
1492;2456;2099;7375
8571;2018;1059;26885
2866;1316;1499;929
3597;10129;698;9110
5014;14725;545;2100
3363;12862;1199;3250
1423;2557;498;21600
935;2295;460;3324
999;950;339;34911
3149;4839;4196;6799
340;428;2179;4085
1998;799;1830;10700
7895;3364;837;9750
2136;3598;970;2470
2705;7890;746;9990
2613;550;2256;1380
2276;2599;2100;5235
2991;15267;1329;25110
7318;2398;4919;3550
1275;829;3299;26642
1434;1829;817;8460
1122;649;669;23597
642;299;740;17600
4417;6900;5597;1330
7922;648;897;3450
7565;899;2689;8188
9565;2076;249;950
4562;1696;1240;7125
12245;894;3621;11119
785;837;2390;2800
1698;8798;5399;33829
1065;1999;1549;4031
2624;35463;4659;8200
805;10316;1518;5690
3750;1067;1749;4750
1293;6636;614;24950
112;2206;5500;22790
770;3406;1620;6799
2997;3299;4700;16150
2218;1079;341;1380
13166;1772;6550;1800
2768;2318;1681;12249
3890;4597;1809;13321
1676;2398;6480;2130
1602;5799;3330;8550
1095;3400;768;18501
1699;2198;1343;3250
7516;4647;1099;1691
4664;5559;3699;1715
3846;2560;545;4679
3666;1607;566;5675
1188;2980;5399;4138
7494;4100;5399;9039
788;5681;4060;1805
4500;4272;3030;4400
5080;7214;1909;44080
2199;699;3441;4085
2620;1098;1342;1853
312;3465;4758;4138
1840;1919;1950;2130
989;1317;852;26900
12206;378;2650;5750
5150;209;2760;8075
737;1099;166;19597
1757;1215;2650;3399
703;1999;827;13541
1109;6438;726;6650
7535;2083;666;1890
584;499;3879;4599
1109;5743;1399;6471
2350;2423;1016;16990
7789;6274;3989;33541
11871;1455;2951;9005
240;3455;2809;8320
11953;1399;2600;3238
3311;3869;3153;13015
2400;3173;709;2852
2563;796;8990;3515
1288;1158;1548;12499
3750;1799;809;5690
5341;299;2432;8990
3887;2999;1329;6050
4192;6599;2029;2618
3817;799;4621;22600
1392;9708;492;2755
5302;1097;1918;2115
1387;4453;373;21730
773;7345;5623;5142
500;788;1663;7500
177;1497;189;10100
1629;1564;2850;10100
879;5145;3269;2707
1346;3557;641;7334
7681;3429;1329;2185
1351;793;1099;25500
2120;1438;256;9310
1699;3002;899;4138
5996;997;6333;4769
7913;2001;3522;2130
2833;2582;785;9202
1275;1608;699;4515
3829;914;310;14970
7187;9099;6685;3250
11803;759;795;9740
1052;998;2029;11590
2548;1468;2458;32453
1597;959;1582;8990
1699;399;117;5359
638;2499;726;1790
1589;1736;4407;3799
3463;6349;1894;14453
2400;239;459;29970
990;2499;1993;2902
1009;4599;1334;7990
915;1866;388;10930
874;2328;1088;11537
1390;2358;1730;21000
1099;1199;1409;4750
3669;5611;915;10792
1740;4065;2220;1490
3859;5285;240;1235
1367;4297;507;1053
3250;771;1110;16900
4134;1394;10806;14725
559;298;475;1630
1629;1239;554;1000
1142;6198;280;6299
8660;2484;1607;32290
5926;2023;1767;36173
389;2499;913;4119
663;449;1699;2180
1990;798;2389;2500
1648;949;4589;26670
469;1915;6599;31780
1101;2099;580;8512
5998;1752;7797;5894
2310;2017;349;5215
5384;559;4748;5650
9272;2579;5455;8170
4590;3239;260;6457
1450;2945;2154;20900
989;1898;1440;4836
615;399;3267;2708
4486;5199;1755;27900
2020;249;1520;4540
2047;798;1519;990
5395;1549;4535;28900
2495;1228;2040;27248
2700;5499;607;17768
2547;3553;2379;7999
2040;1899;1738;3420
2098;299;600;1890
6129;1999;2170;6659
1904;6895;3509;2649
1048;10944;994;7570
1828;3099;3162;2090
3064;5499;1150;11970
1119;1799;1678;6940
8451;1197;6662;2052
2098;599;1285;36899
2258;2499;2657;730
708;1400;2079;3760
1950;4352;2825;6030
10684;2302;3380;2310
2298;2751;568;3990
9875;1634;998;2929
2961;4486;1788;5499
311;3938;2160;10521
610;5999;1574;1106
990;2624;1667;13900
2978;426;1050;16150
5344;6321;768;35600
2636;279;841;12024
1110;4999;1590;3550
1699;1099;1099;6799
1699;6099;1108;1800
3947;720;3046;3250
2967;4999;417;7600
1049;1506;1880;1370
5142;1720;4379;319
5790;199;3026;1139
2757;1326;1848;19475
2684;1561;750;3225
2574;2745;2472;5499
4287;2799;594;9870
1250;798;1130;5144
1329;1546;800;5490
1699;4380;1000;3367
4708;4999;346;24320
4374;1047;392;18999
2161;3047;587;3108
3993;1046;258;8098
2996;2099;3799;4044
2212;999;1780;2600
1999;1028;1579;4679
5832;3499;1330;3040
3786;5137;1326;1590
2755;5999;520;7570
825;299;598;18045
744;2887;626;8615
1768;1149;9899;2130
2394;1575;818;2666
3846;3676;3845;8870
5367;699;1399;20990
4945;1299;283;5650
1980;458;870;1361
1501;2799;168;20750
