Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
851;2720;3248;4652;;;;;
2115;3150;896;704;;;;;
2109;1080;2009;1391;;;;;
1738;1177;759;3155;;;;;
984;1468;3210;6038;;;;;
1241;1247;888;4689;;;;;
3788;957;513;10139;;;;;
2000;5407;1036;26404;;;;;
864;747;1227;4687;;;;;
2758;1648;1487;1768;;;;;
2085;1098;3065;6398;;;;;
3650;3222;453;2389;;;;;
1501;848;2574;5699;;;;;
1509;1748;1196;1929;;;;;
3908;6547;1209;1998;;;;;
1377;653;287;704;;;;;
2450;404;654;2898;;;;;
2125;257;3020;909;;;;;
8746;1226;2496;878;;;;;
1048;956;3520;2129;;;;;
1398;1748;387;3799;;;;;
1145;2548;880;4749;;;;;
1039;3244;2385;3190;;;;;
2868;1044;2273;9089;;;;;
541;1068;544;4209;;;;;
2486;2532;931;5599;;;;;
5044;2048;808;2199;;;;;
3259;466;1032;49400;;;;;
1366;2044;1029;15779;;;;;
4116;2660;1918;22369;;;;;
4016;1486;781;10729;;;;;
1248;398;1736;21397;;;;;
1499;2515;2037;6089;;;;;
1336;3162;4261;4304;;;;;
1098;2848;826;8029;;;;;
3194;6994;2257;13559;;;;;
5107;10398;1562;4299;;;;;
1986;6098;3658;1508;;;;;
3199;2047;4868;13489;;;;;
919;1674;1548;3299;;;;;
2269;1547;1019;3306;;;;;
1081;2681;4617;1659;;;;;
1098;2342;3574;37039;;;;;
1848;3106;1098;27740;;;;;
12256;1074;576;16459;;;;;
2674;1046;358;4279;;;;;
2078;648;1308;2899;;;;;
888;3577;4087;5669;;;;;
2663;1386;3188;3424;;;;;
1400;707;606;1790;;;;;
2472;698;1291;6948;;;;;
3133;2948;1269;9863;;;;;
1068;508;3130;1284;;;;;
2551;4484;661;5700;;;;;
566;2815;429;22280;;;;;
5049;2220;4658;23629;;;;;
6648;3447;1207;13400;;;;;
699;1148;1048;8512;;;;;
2348;948;429;3519;;;;;
3349;348;2329;8598;;;;;
2881;1277;968;8089;;;;;
495;2548;2047;28199;;;;;
3799;1415;379;22109;;;;;
2047;2148;9228;5459;;;;;
2404;508;2288;6668;;;;;
1299;2143;1933;2837;;;;;
2259;1980;518;31449;;;;;
664;3469;1423;39100;;;;;
801;1127;3952;5602;;;;;
887;408;2248;11640;;;;;
244;2047;3848;2155;;;;;
3096;596;2699;4839;;;;;
2192;3998;2865;30990;;;;;
1541;2555;2148;7474;;;;;
2906;2117;1108;26885;;;;;
1482;1415;1548;588;;;;;
3725;5164;398;9110;;;;;
2581;7462;594;2199;;;;;
3412;6530;1248;3349;;;;;
1472;2656;597;21600;;;;;
984;2723;509;3473;;;;;
1048;999;388;17554;;;;;
1624;4888;2147;6898;;;;;
389;477;2228;4234;;;;;
2047;848;1879;10700;;;;;
4691;3413;886;9750;;;;;
2185;3647;1019;2470;;;;;
2754;3994;795;10089;;;;;
2712;699;2305;1479;;;;;
2530;2648;2149;5235;;;;;
3040;7682;1378;25110;;;;;
3708;2497;4968;3550;;;;;
1324;928;3348;26642;;;;;
1483;2627;866;8559;;;;;
1621;748;718;23597;;;;;
691;398;789;17699;;;;;
4466;2399;5646;1429;;;;;
2443;747;946;3549;;;;;
3832;998;2738;8287;;;;;
3237;1137;298;1049;;;;;
2330;1795;1289;7224;;;;;
2498;1073;3670;11218;;;;;
884;936;2439;2899;;;;;
1747;8897;5448;17014;;;;;
1114;2148;1598;4130;;;;;
2673;3252;4708;8299;;;;;
854;10465;1567;5839;;;;;
3118;1216;1798;4849;;;;;
1392;2434;663;25099;;;;;
161;2355;5549;22889;;;;;
819;3505;1669;6898;;;;;
3046;3398;4749;16410;;;;;
2267;638;220;1479;;;;;
6632;1821;3324;1899;;;;;
2817;2367;2674;12249;;;;;
3939;2348;1858;6760;;;;;
1725;2447;6529;2279;;;;;
1651;5848;3379;8550;;;;;
1144;1749;817;18650;;;;;
1748;2247;1392;3349;;;;;
3807;4696;1148;1790;;;;;
3378;5658;3748;2363;;;;;
3802;902;594;4828;;;;;
1271;905;283;5774;;;;;
1237;3079;5448;8088;;;;;
2630;4149;5448;9138;;;;;
837;2890;4109;1904;;;;;
4549;2185;1564;4499;;;;;
2589;2529;1958;44080;;;;;
2248;748;1770;4184;;;;;
2669;1646;1391;1952;;;;;
361;1782;4807;4138;;;;;
1939;1968;1999;2229;;;;;
1038;708;901;26999;;;;;
4118;427;2699;5849;;;;;
2624;677;2809;8075;;;;;
888;1248;215;19696;;;;;
1806;1314;2699;3498;;;;;
752;2098;876;13640;;;;;
1158;3318;775;6749;;;;;
2561;2132;715;2039;;;;;
633;548;3928;4698;;;;;
1158;2920;1448;6570;;;;;
2399;2472;1065;17089;;;;;
3944;1095;4038;16894;;;;;
3030;1504;3000;9104;;;;;
289;3504;2908;8320;;;;;
6026;1448;1598;3337;;;;;
1730;1984;1100;13114;;;;;
2449;4897;758;2951;;;;;
2540;845;9039;3664;;;;;
1337;1207;1647;6298;;;;;
3799;1848;858;5690;;;;;
5390;348;2481;9089;;;;;
3936;3048;1378;6199;;;;;
4291;2249;2078;2717;;;;;
1958;848;2360;22699;;;;;
1441;2476;541;2904;;;;;
5351;1146;1008;2264;;;;;
1436;2326;422;10964;;;;;
822;7444;5672;5241;;;;;
599;837;1712;7599;;;;;
226;997;238;10100;;;;;
1678;831;2899;10249;;;;;
928;2656;3318;2806;;;;;
1395;3606;690;7334;;;;;
2609;1764;1378;2284;;;;;
1400;842;1148;14598;;;;;
2169;1487;305;9409;;;;;
1748;3051;948;4138;;;;;
6045;1545;2160;4868;;;;;
7962;2050;3571;2728;;;;;
1466;2631;937;9301;;;;;
1324;1657;748;4614;;;;;
1325;953;359;14970;;;;;
3642;9148;6784;3349;;;;;
6140;808;844;9839;;;;;
725;1047;2128;11689;;;;;
1323;1517;1278;16240;;;;;
1646;1008;950;9089;;;;;
1748;448;166;5458;;;;;
687;2548;775;1889;;;;;
1638;1785;4456;3898;;;;;
1780;6398;1943;14453;;;;;
2449;737;508;15084;;;;;
1039;2548;1169;3001;;;;;
1058;4648;1433;8089;;;;;
964;2075;437;11029;;;;;
923;2377;1137;5868;;;;;
1439;2407;1779;21099;;;;;
1148;1298;1458;2474;;;;;
1951;2823;964;10941;;;;;
